process,energy,pat_sign,pat_len,geom_sign,geom_len
24,81.804347,8.830759,1.334966,9.843161,1.192622
32,35.800378,9.802923,0.540561,115.124458,0.715362
24,168.048928,50.756931,25.252604,7.110369,4.971408
32,323.411929,14.983516,17.407221,3.759465,4.985682
32,68.277676,4.764303,0.125187,3.949973,0.380750
42,93.670663,12.563449,0.541380,19.612053,0.723340
42,48.531889,11.929548,0.547389,5.164091,0.785934
23,111.807880,14.980610,0.986356,2.878456,1.038248
42,58.432558,17.883522,1.870027,19.800301,1.332843
42,117.744003,1.743476,0.038457,3.062994,0.209454
32,100.722009,16.691498,2.934879,2.374661,1.638413
32,30.521152,4.114854,0.078301,12.014989,0.363829
32,94.439220,26.278196,7.234887,35.795441,2.627871
32,85.025295,9.393607,1.029409,7.373194,1.189954
32,45.623388,19.346346,0.648760,51.284878,0.762249
42,31.699716,7.361543,0.116494,11.089810,0.355575
42,51.308776,13.098289,0.819104,19.878456,0.848275
32,67.304297,6.696750,0.115937,8.179247,0.312635
42,86.268555,3.722404,0.083462,7.126686,0.261103
23,33.359156,1.421806,0.011315,21.647217,0.113479
32,92.188899,3.707392,0.103030,4.565843,0.254627
24,89.024722,53.562077,8.612950,33.819607,2.934461
23,40.308852,7.834680,0.103705,28.410366,0.304217
42,49.647133,32.964581,1.401689,20.555845,1.175526
24,54.079475,6.702074,0.378655,2.869034,0.580046
24,86.675667,24.294975,4.713882,25.011019,2.176193
32,41.476796,1.822939,0.009416,2.175979,0.133126
32,86.381060,6.114451,0.314318,13.612679,0.588754
32,185.405056,7.397851,3.503111,7.759386,1.800761
42,49.196627,10.143088,1.123489,2.435292,1.373590
23,103.775675,10.218713,0.551124,92.050941,0.672414
24,122.051048,13.228374,26.552185,12.188090,4.733398
23,46.655892,104.350349,6.182072,36.901253,2.456912
24,75.203715,6.950722,1.010935,2.566266,1.106340
42,63.255417,28.106855,8.604194,9.131587,2.909139
42,62.802220,16.142519,1.514719,9.155404,1.149978
24,159.095978,10.710799,8.053097,2.533695,3.684784
42,100.792941,13.127328,1.004400,7.103198,1.020013
42,88.692714,17.358561,1.730106,7.319233,1.348787
42,54.169367,5.121320,0.214652,27.928722,0.424264
32,48.826784,11.230223,0.564295,3.240886,0.781952
32,115.166105,14.610567,0.828073,3.017078,0.676270
32,62.004830,13.883805,0.317821,4.385383,0.539731
32,146.330489,12.802434,3.057415,5.054964,1.624880
32,46.793412,5.700603,0.128444,14.579403,0.372396
42,35.646415,19.796358,0.625456,20.883371,0.728339
42,64.133887,11.874155,0.176382,12.953218,0.422705
23,97.979539,15.700686,2.607775,7.115816,1.709499
42,99.827115,8.013673,0.651496,11.317629,0.808936
42,184.671354,3.410854,0.297913,6.727304,0.565341
32,50.232131,0.833000,0.004374,32.782597,0.224928
32,83.093270,26.921644,1.866752,3.283337,1.352847
32,145.901804,16.994532,4.213305,11.820912,1.981688
23,171.301039,5.760940,1.453817,3.399238,1.079793
32,54.649769,10.196988,0.789903,15.298511,0.881944
32,110.996480,38.789013,7.348414,7.287195,2.748958
32,134.729864,14.050705,1.867826,7.429160,1.330445
42,236.085400,3.862380,0.892691,2.409138,1.081377
23,52.778958,21.333666,2.598358,2.613090,1.850366
42,118.507893,4.107168,0.343039,2.661056,0.511465
24,131.988551,12.923541,1.616419,6.794185,1.259939
23,56.468655,4.488725,0.054125,3.626853,0.232783
24,140.066892,20.424164,3.979429,6.799448,1.921185
32,106.890432,15.443495,2.076514,6.297531,1.354219
23,76.525121,4.637265,0.275422,2.796753,0.433466
24,111.168297,18.864201,5.108405,7.615001,2.182146
32,42.632770,5.787165,0.052619,3.225645,0.220458
21,42.527956,12.443430,0.126860,2.248591,0.321906
42,54.023189,1.577087,0.007837,4.645802,0.059587
42,74.723631,18.837357,1.453236,27.866669,1.247913
32,41.782565,8.367094,0.095276,21.933208,0.307941
32,39.179114,15.675369,0.371673,6.169466,0.567113
32,35.600280,17.949724,0.415846,4.300076,0.655709
