dtag,nbin,pileup
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,92,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,93,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,94,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,95,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,96,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,97,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,98,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,99,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,100,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,101,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,102,0
MC2016_Summer16_QCD_HT-100-200_,0,0
MC2016_Summer16_QCD_HT-100-200_,1,0.287136
MC2016_Summer16_QCD_HT-100-200_,2,21.0984
MC2016_Summer16_QCD_HT-100-200_,3,59.1339
MC2016_Summer16_QCD_HT-100-200_,4,170.956
MC2016_Summer16_QCD_HT-100-200_,5,348.018
MC2016_Summer16_QCD_HT-100-200_,6,355.267
MC2016_Summer16_QCD_HT-100-200_,7,642.376
MC2016_Summer16_QCD_HT-100-200_,8,3987.17
MC2016_Summer16_QCD_HT-100-200_,9,17271.5
MC2016_Summer16_QCD_HT-100-200_,10,62599.2
MC2016_Summer16_QCD_HT-100-200_,11,200770
MC2016_Summer16_QCD_HT-100-200_,12,537434
MC2016_Summer16_QCD_HT-100-200_,13,1.1513e+06
MC2016_Summer16_QCD_HT-100-200_,14,1.91022e+06
MC2016_Summer16_QCD_HT-100-200_,15,2.72517e+06
MC2016_Summer16_QCD_HT-100-200_,16,3.32285e+06
MC2016_Summer16_QCD_HT-100-200_,17,3.69559e+06
MC2016_Summer16_QCD_HT-100-200_,18,4.40359e+06
MC2016_Summer16_QCD_HT-100-200_,19,4.67397e+06
MC2016_Summer16_QCD_HT-100-200_,20,5.39721e+06
MC2016_Summer16_QCD_HT-100-200_,21,5.02159e+06
MC2016_Summer16_QCD_HT-100-200_,22,4.78007e+06
MC2016_Summer16_QCD_HT-100-200_,23,4.78771e+06
MC2016_Summer16_QCD_HT-100-200_,24,4.81737e+06
MC2016_Summer16_QCD_HT-100-200_,25,4.42624e+06
MC2016_Summer16_QCD_HT-100-200_,26,4.42075e+06
MC2016_Summer16_QCD_HT-100-200_,27,3.57467e+06
MC2016_Summer16_QCD_HT-100-200_,28,3.18551e+06
MC2016_Summer16_QCD_HT-100-200_,29,2.36572e+06
MC2016_Summer16_QCD_HT-100-200_,30,1.86867e+06
MC2016_Summer16_QCD_HT-100-200_,31,1.40699e+06
MC2016_Summer16_QCD_HT-100-200_,32,1.01938e+06
MC2016_Summer16_QCD_HT-100-200_,33,965421
MC2016_Summer16_QCD_HT-100-200_,34,822161
MC2016_Summer16_QCD_HT-100-200_,35,969610
MC2016_Summer16_QCD_HT-100-200_,36,1.3572e+06
MC2016_Summer16_QCD_HT-100-200_,37,2.50197e+06
MC2016_Summer16_QCD_HT-100-200_,38,3.06059e+06
MC2016_Summer16_QCD_HT-100-200_,39,0
MC2016_Summer16_QCD_HT-100-200_,40,0
MC2016_Summer16_QCD_HT-100-200_,41,0
MC2016_Summer16_QCD_HT-100-200_,42,0
MC2016_Summer16_QCD_HT-100-200_,43,0
MC2016_Summer16_QCD_HT-100-200_,44,0
MC2016_Summer16_QCD_HT-100-200_,45,0
MC2016_Summer16_QCD_HT-100-200_,46,0
MC2016_Summer16_QCD_HT-100-200_,47,0
MC2016_Summer16_QCD_HT-100-200_,48,0
MC2016_Summer16_QCD_HT-100-200_,49,0
MC2016_Summer16_QCD_HT-100-200_,50,0
MC2016_Summer16_QCD_HT-100-200_,51,0
MC2016_Summer16_QCD_HT-100-200_,52,0
MC2016_Summer16_QCD_HT-100-200_,53,0
MC2016_Summer16_QCD_HT-100-200_,54,0
MC2016_Summer16_QCD_HT-100-200_,55,0
MC2016_Summer16_QCD_HT-100-200_,56,0
MC2016_Summer16_QCD_HT-100-200_,57,0
MC2016_Summer16_QCD_HT-100-200_,58,0
MC2016_Summer16_QCD_HT-100-200_,59,0
MC2016_Summer16_QCD_HT-100-200_,60,0
MC2016_Summer16_QCD_HT-100-200_,61,0
MC2016_Summer16_QCD_HT-100-200_,62,0
MC2016_Summer16_QCD_HT-100-200_,63,0
MC2016_Summer16_QCD_HT-100-200_,64,0
MC2016_Summer16_QCD_HT-100-200_,65,0
MC2016_Summer16_QCD_HT-100-200_,66,0
MC2016_Summer16_QCD_HT-100-200_,67,0
MC2016_Summer16_QCD_HT-100-200_,68,0
MC2016_Summer16_QCD_HT-100-200_,69,0
MC2016_Summer16_QCD_HT-100-200_,70,0
MC2016_Summer16_QCD_HT-100-200_,71,0
