"nbin","pileup","err","pileup_norm","err_norm","mc_pileup_average_norm","ratio"
65,2287.389,2287.355,0.0000000629725978711737,0.000000062971661839599,0.0000147495496750255,0.00426945901797946
66,2018.393,2018.377,0.0000000555670464162378,0.0000000555666059307909,0.0000134672233635421,0.0041260952548442
67,1767.784,1767.777,0.0000000486676953308313,0.0000000486675026184483,0.0000129638514209533,0.00375410776863504
68,1536.78,1536.777,0.0000000423080765696007,0.0000000423079939785794,0.0000134511074322115,0.00314532292473444
69,1326.033,1326.032,0.0000000365061399145078,0.0000000365061123841674,0.0000136266778738473,0.00267901980603588
70,1135.686,1135.685,0.0000000312658222042345,0.0000000312657946738941,0.0000143786270006445,0.00217446507255756
71,965.4373,965.4371,0.0000000265788175350724,0.0000000265788120290043,0.0000135103388326586,0.00196729466701629
72,814.6162,814.616,0.0000000224266613076934,0.0000000224266558016254,0.0000130522703888516,0.00171821917869928
73,682.2534,682.2533,0.0000000187826683631166,0.0000000187826656100826,0.0000140017744744706,0.00134144914256139
74,567.1563,567.1562,0.0000000156140060173424,0.0000000156140032643083,0.0000136933854453648,0.00114025900166476
75,467.977,467.977,0.0000000128835661245019,0.0000000128835661245019,0.0000124330202635978,0.00103623784497667
76,383.2759,383.2759,0.0000000105517160065088,0.0000000105517160065088,0,0
77,311.5758,311.5758,0.00000000857778784447649,0.00000000857778784447649,0,0
78,251.4094,251.4094,0.00000000692138636988857,0.00000000692138636988857,0,0
79,201.3561,201.3561,0.00000000554340198112688,0.00000000554340198112688,0,0
80,160.0713,160.0713,0.0000000044068173824461,0.0000000044068173824461,0,0
81,126.3071,126.3071,0.00000000347727746202072,0.00000000347727746202072,0,0
82,98.92522,98.92522,0.00000000272344498394343,0.00000000272344498394343,0,0
83,76.90443,76.90443,0.00000000211720513865452,0.00000000211720513865452,0,0
84,59.34177,59.34177,0.0000000016336991299572,0.0000000016336991299572,0,0
85,45.45002,45.45002,0.00000000125125452325634,0.00000000125125452325634,0,0
86,34.55189,34.55189,0.000000000951225294280521,0.000000000951225294280521,0,0
87,26.07194,26.07194,0.000000000717769383931359,0.000000000717769383931359,0,0
88,19.52713,19.52713,0.000000000537588536566422,0.000000000537588536566422,0,0
89,14.51665,14.51665,0.000000000399648316437026,0.000000000399648316437026,0,0
90,10.71168,10.71168,0.000000000294896197002212,0.000000000294896197002212,0,0
