"nbin","data_pileup","data_pileup_err","data_pileup_norm","data_pileup_err_norm","pileup_up","pileup_up_err","pileup_up_err_norm","pileup_up_norm","pileup_down","pileup_down_err","pileup_down_norm","pileup_down_err_norm","pileup_normalized_average","pileup_normalized_average_dev"
65,3031.096,3030.645,8.30144767017654e-08,8.30021248894202e-08,3691.485,3685.383,1.00933834110835e-07,1.01100953310046e-07,2291.415,2291.377,6.27563788677523e-08,6.27553381385971e-08,1.47495496750255e-05,1.94924793854875e-06
66,2748.237,2748.044,7.52676445772188e-08,7.52623587683882e-08,3421.626,3419.225,9.36444024780115e-08,9.37101601307983e-08,2022.261,2022.244,5.53848942620518e-08,5.5384428672693e-08,1.34672233635421e-05,2.46174553458477e-06
67,2474.977,2474.891,6.77837061260697e-08,6.77813507915648e-08,3153.557,3152.576,8.63415235284369e-08,8.63683907743277e-08,1771.457,1771.449,4.8515972287836e-08,4.85157531869613e-08,1.29638514209533e-05,1.46075279348124e-06
68,2213.817,2213.778,6.06311577622326e-08,6.06300896454223e-08,2889.088,2888.67,7.91137687944366e-08,7.91252168156215e-08,1540.227,1540.223,4.21831353789433e-08,4.2183025828506e-08,1.34511074322115e-05,1.67144925264393e-06
69,1966.815,1966.797,5.38663631881612e-08,5.38658702111719e-08,2630.613,2630.428,7.20411374862523e-08,7.20462041941929e-08,1329.231,1329.229,3.64044593575416e-08,3.64044045823229e-08,1.36266778738473e-05,2.6688966989449e-06
70,1735.546,1735.538,4.75324578904272e-08,4.7532238789543e-08,2380.501,2380.416,6.51939062124014e-08,6.51962341592931e-08,1138.621,1138.62,3.11841071402513e-08,3.11840797526419e-08,1.43786270006445e-05,2.57661258863459e-06
71,1521.109,1521.105,4.16595408529937e-08,4.16594313025516e-08,2140.853,2140.813,5.8631752576142e-08,5.86328480805616e-08,968.1026,968.1024,2.65140158148812e-08,2.65140103373593e-08,1.35103388326586e-05,2.25491514459119e-06
72,1324.149,1324.147,3.62652770846473e-08,3.62652223094262e-08,1913.419,1913.4,5.2403453911757e-08,5.24039742763563e-08,817.0121,817.012,2.23760082251089e-08,2.2376005486348e-08,1.30522703888516e-05,2.35264541254906e-06
73,1144.898,1144.897,3.1356020511029e-08,3.13559931234184e-08,1699.565,1699.556,4.65467777341121e-08,4.65470242226065e-08,684.3857,684.3857,1.87436881930475e-08,1.87436881930475e-08,1.40017744744706e-05,2.37276138528688e-06
74,983.2202,983.2198,2.69280518946299e-08,2.69280409395857e-08,1500.273,1500.268,4.10887556147611e-08,4.10888925528135e-08,569.0356,569.0355,1.55845247163167e-08,1.55845219775557e-08,1.36933854453648e-05,1.71442298933599e-06
75,838.6676,838.6674,2.29691015859364e-08,2.29690961084143e-08,1316.159,1316.156,3.60463678722078e-08,3.60464500350393e-08,469.6176,469.6175,1.28617033704347e-08,1.28617006316737e-08,1.24330202635978e-05,1.4625741919124e-06
76,710.5336,710.5335,1.94598174993539e-08,1.94598147605928e-08,1147.5,1147.499,3.1427255649779e-08,3.14272830373895e-08,384.6945,384.6945,1.05358626832505e-08,1.05358626832505e-08,0,0
77,597.9098,597.9097,1.63753207294844e-08,1.63753179907233e-08,994.2699,994.2694,2.72306630494252e-08,2.72306767432305e-08,312.7913,312.7913,8.56660593098009e-09,8.56660593098009e-09,0,0
78,499.7392,499.7391,1.36866625720066e-08,1.36866598332455e-08,856.1777,856.1775,2.34486558803874e-08,2.34486613579095e-08,252.4414,252.4414,6.91376644575766e-09,6.91376644575766e-09,0,0
79,414.8663,414.8663,1.13621966429627e-08,1.13621966429627e-08,732.7099,732.7098,2.00671706046789e-08,2.006717334344e-08,202.2244,202.2244,5.5384428672693e-09,5.5384428672693e-09,0,0
80,342.082,342.082,9.36880858247094e-09,9.36880858247094e-09,623.1741,623.174,1.70672467795575e-08,1.70672495183185e-08,160.7954,160.7954,4.40380159970663e-09,4.40380159970663e-09,0,0
81,280.1624,280.1624,7.67297869401388e-09,7.67297869401388e-09,526.7399,526.7399,1.44261472107941e-08,1.44261472107941e-08,126.9057,126.9057,3.4756437352803e-09,3.4756437352803e-09,0,0
82,227.9014,227.9014,6.24167478054134e-09,6.24167478054134e-09,442.4793,442.4793,1.2118450718332e-08,1.2118450718332e-08,99.41572,99.41572,2.72275890213269e-09,2.72275890213269e-09,0,0
83,184.1373,184.1373,5.0430806549103e-09,5.0430806549103e-09,369.4026,369.4026,1.01170545228301e-08,1.01170545228301e-08,77.3029,77.3029,2.11714162645176e-09,2.11714162645176e-09,0,0
84,147.7726,147.7726,4.04713841457324e-09,4.04713841457324e-09,306.4906,306.4906,8.39404517167698e-09,8.39404517167698e-09,59.66271,59.66271,1.6340189939565e-09,1.6340189939565e-09,0,0
85,117.7887,117.7887,3.2259510394528e-09,3.2259510394528e-09,252.7231,252.7231,6.92148182465054e-09,6.92148182465054e-09,45.70633,45.70633,1.25178711064321e-09,1.25178711064321e-09,0,0
86,93.25467,93.25467,2.55402258128605e-09,2.55402258128605e-09,207.1015,207.1015,5.6720152139154e-09,5.6720152139154e-09,34.75486,34.75486,9.51852528527433e-10,9.51852528527433e-10,0,0
87,73.33219,73.33219,2.00839345842046e-09,2.00839345842046e-09,168.6678,168.6678,4.61940800862206e-09,4.61940800862206e-09,26.23132,26.23132,7.1841314476917e-10,7.1841314476917e-10,0,0
88,57.27639,57.27639,1.56866346140678e-09,1.56866346140678e-09,136.5185,136.5185,3.73891550269269e-09,3.73891550269269e-09,19.65124,19.65124,5.38200484268946e-10,5.38200484268946e-10,0,0
89,44.43378,44.43378,1.21693506064518e-09,1.21693506064518e-09,109.8149,109.8149,3.00756770720926e-09,3.00756770720926e-09,14.6125,14.6125,4.00201441556868e-10,4.00201441556868e-10,0,0
90,34.23791,34.23791,9.37694544155692e-10,9.37694544155692e-10,87.78922,87.78922,2.40433696258968e-09,2.40433696258968e-09,10.78509,10.78509,2.95377831672921e-10,2.95377831672921e-10,0,0
91,26.20338,26.20338,7.17647965791089e-10,7.17647965791089e-10,69.74792,69.74792,1.91022886545464e-09,1.91022886545464e-09,7.901083,7.901083,2.16391774608073e-10,2.16391774608073e-10,0,0
92,19.9188,19.9188,5.45528336458867e-10,5.45528336458867e-10,55.07205,55.07205,1.5082918542913e-09,1.5082918542913e-09,5.745308,5.745308,1.57350251071904e-10,1.57350251071904e-10,0,0
93,15.03919,15.03919,4.11887478281263e-10,4.11887478281263e-10,43.21563,43.21563,1.18357284152427e-09,1.18357284152427e-09,4.146705,4.146705,1.13568336609825e-10,1.13568336609825e-10,0,0
94,11.27823,11.27823,3.08883770613716e-10,3.08883770613716e-10,33.70234,33.70234,9.2302656052491e-10,9.2302656052491e-10,2.97068,2.97068,8.13598233296257e-11,8.13598233296257e-11,0,0
95,8.400634,8.400634,2.30073292127026e-10,2.30073292127026e-10,26.12091,26.12091,7.15389308726953e-10,7.15389308726953e-10,2.112376,2.112376,5.78529286781954e-11,5.78529286781954e-11,0,0
96,6.214952,6.214952,1.7021268478682e-10,1.7021268478682e-10,20.11989,20.11989,5.51035710423654e-10,5.51035710423654e-10,1.4909,1.4909,4.08321867727722e-11,4.08321867727722e-11,0,0
97,4.566859,4.566859,1.25075355599344e-10,1.25075355599344e-10,15.4018,15.4018,4.21818499246419e-10,4.21818499246419e-10,1.044449,1.044449,2.86049611929943e-11,2.86049611929943e-11,0,0
98,3.333123,3.333123,9.12862745447912e-11,9.12862745447912e-11,11.71725,11.71725,3.20907479015122e-10,3.20907479015122e-10,0.7262526,0.7262526,1.98903224947424e-11,1.98903224947424e-11,0,0
99,2.416231,2.416231,6.61747935583642e-11,6.61747935583642e-11,8.859073,8.859073,2.4262884062736e-10,2.4262884062736e-10,0.5012438,0.5012438,1.37278693811081e-11,1.37278693811081e-11,0,0
100,1.739717,1.739717,4.7646691613913e-11,4.7646691613913e-11,6.656693,6.656693,1.82310915036174e-10,1.82310915036174e-10,0.3433767,0.3433767,9.40426691784705e-12,9.40426691784705e-12,0,0
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
