dtag,nbin,pileup
MC2016_Summer16_QCD_HT-1000-1500_,54,4167
MC2016_Summer16_QCD_HT-1000-1500_,55,2658
MC2016_Summer16_QCD_HT-1000-1500_,56,1750
MC2016_Summer16_QCD_HT-1000-1500_,57,1154
MC2016_Summer16_QCD_HT-1000-1500_,58,755
MC2016_Summer16_QCD_HT-1000-1500_,59,484
MC2016_Summer16_QCD_HT-1000-1500_,60,316
MC2016_Summer16_QCD_HT-1000-1500_,61,175
MC2016_Summer16_QCD_HT-1000-1500_,62,129
MC2016_Summer16_QCD_HT-1000-1500_,63,124
MC2016_Summer16_QCD_HT-1000-1500_,64,96
MC2016_Summer16_QCD_HT-1000-1500_,65,84
MC2016_Summer16_QCD_HT-1000-1500_,66,52
MC2016_Summer16_QCD_HT-1000-1500_,67,49
MC2016_Summer16_QCD_HT-1000-1500_,68,60
MC2016_Summer16_QCD_HT-1000-1500_,69,73
MC2016_Summer16_QCD_HT-1000-1500_,70,69
MC2016_Summer16_QCD_HT-1000-1500_,71,73
MC2016_Summer16_QCD_HT-1000-1500_,72,69
MC2016_Summer16_QCD_HT-1000-1500_,73,69
MC2016_Summer16_QCD_HT-1000-1500_,74,74
MC2016_Summer16_QCD_HT-1000-1500_,75,67
MC2016_Summer16_QCD_HT-1000-1500_,76,0
MC2016_Summer16_QCD_HT-1000-1500_,77,0
MC2016_Summer16_QCD_HT-1000-1500_,78,0
MC2016_Summer16_QCD_HT-1000-1500_,79,0
MC2016_Summer16_QCD_HT-1000-1500_,80,0
MC2016_Summer16_QCD_HT-1000-1500_,81,0
MC2016_Summer16_QCD_HT-1000-1500_,82,0
MC2016_Summer16_QCD_HT-1000-1500_,83,0
MC2016_Summer16_QCD_HT-1000-1500_,84,0
MC2016_Summer16_QCD_HT-1000-1500_,85,0
MC2016_Summer16_QCD_HT-1000-1500_,86,0
MC2016_Summer16_QCD_HT-1000-1500_,87,0
MC2016_Summer16_QCD_HT-1000-1500_,88,0
MC2016_Summer16_QCD_HT-1000-1500_,89,0
MC2016_Summer16_QCD_HT-1000-1500_,90,0
MC2016_Summer16_QCD_HT-1000-1500_,91,0
MC2016_Summer16_QCD_HT-1000-1500_,92,0
MC2016_Summer16_QCD_HT-1000-1500_,93,0
MC2016_Summer16_QCD_HT-1000-1500_,94,0
MC2016_Summer16_QCD_HT-1000-1500_,95,0
MC2016_Summer16_QCD_HT-1000-1500_,96,0
MC2016_Summer16_QCD_HT-1000-1500_,97,0
MC2016_Summer16_QCD_HT-1000-1500_,98,0
MC2016_Summer16_QCD_HT-1000-1500_,99,0
MC2016_Summer16_QCD_HT-1000-1500_,100,0
MC2016_Summer16_QCD_HT-1000-1500_,101,0
MC2016_Summer16_QCD_HT-1000-1500_,102,0
MC2016_Summer16_QCD_HT-1500-2000_,0,0
MC2016_Summer16_QCD_HT-1500-2000_,1,72
MC2016_Summer16_QCD_HT-1500-2000_,2,115
MC2016_Summer16_QCD_HT-1500-2000_,3,226
MC2016_Summer16_QCD_HT-1500-2000_,4,332
MC2016_Summer16_QCD_HT-1500-2000_,5,410
MC2016_Summer16_QCD_HT-1500-2000_,6,550
MC2016_Summer16_QCD_HT-1500-2000_,7,916
MC2016_Summer16_QCD_HT-1500-2000_,8,2872
MC2016_Summer16_QCD_HT-1500-2000_,9,5109
MC2016_Summer16_QCD_HT-1500-2000_,10,9593
MC2016_Summer16_QCD_HT-1500-2000_,11,19837
