i_bin,x,y,z, hj_w_jets_bin,hj_w_tau_jets_bin, hj_q_jets_bin,hj_q_tau_jets_bin, hjm_w_jets_bin,hjm_w_tau_jets_bin, hjm_q_jets_bin,hjm_q_tau_jets_bin
462, 44,0,0.09, 0,0,0,0, 0,0,0,0
474, 44,0.975,0.09, 0,0,0,0, 1,0,1,0
486, 44,2.25,0.09, 0,0,0,0, 0,0,0,0
439, 46.5,-2.25,0.09, 0,0,0,0, 0,0,0,0
451, 46.5,-0.975,0.09, 0,0,0,0, 1,0,1,0
463, 46.5,0,0.09, 0,0,0,0, 0,0,0,0
475, 46.5,0.975,0.09, 0,0,0,0, 0,0,0,0
487, 46.5,2.25,0.09, 0,0,0,0, 0,0,0,0
440, 52,-2.25,0.09, 0,0,0,0, 0,0,0,0
452, 52,-0.975,0.09, 0,0,0,0, 0,0,0,0
464, 52,0,0.09, 0,0,0,0, 0,0,0,0
476, 52,0.975,0.09, 0,0,0,0, 0,0,0,0
488, 52,2.25,0.09, 0,0,0,0, 0,0,0,0
441, 59.5,-2.25,0.09, 0,0,0,0, 0,0,0,0
453, 59.5,-0.975,0.09, 0,0,0,0, 0,0,0,0
465, 59.5,0,0.09, 0,0,0,0, 0,0,0,0
477, 59.5,0.975,0.09, 0,0,0,0, 0,0,0,0
489, 59.5,2.25,0.09, 0,0,0,0, 0,0,1,0
442, 281.5,-2.25,0.09, 0,0,1,0, 0,0,1,0
454, 281.5,-0.975,0.09, 0,0,4,0, 1,0,0,0
466, 281.5,0,0.09, 0,0,6,0, 0,0,1,0
478, 281.5,0.975,0.09, 0,0,4,0, 1,0,1,0
490, 281.5,2.25,0.09, 0,0,0,0, 0,0,0,0
517, 14.5,-2.25,0.0965, 0,0,0,0, 0,0,0,0
529, 14.5,-0.975,0.0965, 0,0,0,0, 0,0,0,0
541, 14.5,0,0.0965, 0,0,0,0, 0,0,0,0
553, 14.5,0.975,0.0965, 0,0,0,0, 0,0,0,0
565, 14.5,2.25,0.0965, 0,0,0,0, 0,0,0,0
518, 31,-2.25,0.0965, 0,0,0,0, 0,0,2,0
530, 31,-0.975,0.0965, 0,0,0,0, 0,0,0,0
542, 31,0,0.0965, 0,0,0,0, 0,0,0,0
554, 31,0.975,0.0965, 0,0,0,0, 0,0,0,0
566, 31,2.25,0.0965, 0,0,0,0, 0,0,0,0
519, 35,-2.25,0.0965, 0,0,0,0, 0,0,0,0
531, 35,-0.975,0.0965, 0,0,0,0, 0,0,0,0
543, 35,0,0.0965, 0,0,0,0, 0,0,0,0
555, 35,0.975,0.0965, 0,0,0,0, 0,0,0,0
567, 35,2.25,0.0965, 0,0,0,0, 0,0,0,0
520, 38.5,-2.25,0.0965, 0,0,0,0, 0,0,0,0
532, 38.5,-0.975,0.0965, 0,0,0,0, 0,0,0,0
544, 38.5,0,0.0965, 0,0,0,0, 0,0,0,0
556, 38.5,0.975,0.0965, 0,0,1,0, 0,0,1,0
568, 38.5,2.25,0.0965, 0,0,0,0, 0,0,0,0
521, 41.5,-2.25,0.0965, 0,0,0,0, 0,0,0,0
533, 41.5,-0.975,0.0965, 0,0,0,0, 0,0,0,0
545, 41.5,0,0.0965, 0,0,0,0, 0,0,0,0
