i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
605, 41.5,-2.25,0.1035, 3642,83, 16915,125
617, 41.5,-0.975,0.1035, 4340,117, 21411,191
629, 41.5,0,0.1035, 4774,106, 19405,168
641, 41.5,0.975,0.1035, 4399,130, 20647,219
653, 41.5,2.25,0.1035, 3713,103, 16639,137
606, 44,-2.25,0.1035, 2311,57, 10180,86
618, 44,-0.975,0.1035, 2861,62, 13336,102
630, 44,0,0.1035, 3129,79, 12220,109
642, 44,0.975,0.1035, 2890,76, 12746,118
654, 44,2.25,0.1035, 2401,66, 10164,99
607, 46.5,-2.25,0.1035, 3365,85, 13801,128
619, 46.5,-0.975,0.1035, 4315,95, 18575,134
631, 46.5,0,0.1035, 4635,81, 16689,133
643, 46.5,0.975,0.1035, 4318,100, 17998,142
655, 46.5,2.25,0.1035, 3439,68, 13875,107
608, 52,-2.25,0.1035, 8065,153, 30143,194
620, 52,-0.975,0.1035, 11065,158, 40816,247
632, 52,0,0.1035, 11874,162, 36861,252
644, 52,0.975,0.1035, 11127,164, 38749,251
656, 52,2.25,0.1035, 8256,121, 29905,180
609, 59.5,-2.25,0.1035, 6266,59, 18929,79
621, 59.5,-0.975,0.1035, 8609,95, 26453,126
633, 59.5,0,0.1035, 9349,75, 24857,120
645, 59.5,0.975,0.1035, 8639,84, 25598,152
657, 59.5,2.25,0.1035, 6070,53, 18677,87
610, 281.5,-2.25,0.1035, 32724,131, 69622,181
622, 281.5,-0.975,0.1035, 55440,154, 111282,246
634, 281.5,0,0.1035, 57108,151, 108126,249
646, 281.5,0.975,0.1035, 55693,149, 108641,253
658, 281.5,2.25,0.1035, 31466,128, 67951,186
685, 14.5,-2.25,0.11, 20111,85, 37938,136
697, 14.5,-0.975,0.11, 19016,331, 55691,415
709, 14.5,0,0.11, 20660,382, 65467,568
721, 14.5,0.975,0.11, 19524,334, 58573,460
733, 14.5,2.25,0.11, 20118,142, 39648,187
686, 31,-2.25,0.11, 6703,158, 38966,219
698, 31,-0.975,0.11, 7345,273, 64782,397
710, 31,0,0.11, 7549,243, 49397,369
722, 31,0.975,0.11, 7310,249, 62791,402
734, 31,2.25,0.11, 6744,171, 42488,249
687, 35,-2.25,0.11, 5991,162, 41351,214
699, 35,-0.975,0.11, 6885,198, 43434,311
