i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
434, 31,-2.25,0.09, 20,0, 1111,25
446, 31,-0.975,0.09, 20,0, 997,35
458, 31,0,0.09, 31,2, 784,42
470, 31,0.975,0.09, 20,0, 994,35
482, 31,2.25,0.09, 29,0, 1069,33
494, 31,3.6,0.09, 0,0, 0,0
435, 35,-2.25,0.09, 30,1, 755,29
447, 35,-0.975,0.09, 30,2, 657,43
459, 35,0,0.09, 32,2, 579,33
471, 35,0.975,0.09, 25,1, 678,39
483, 35,2.25,0.09, 20,0, 733,27
495, 35,3.6,0.09, 0,0, 0,0
436, 38.5,-2.25,0.09, 11,1, 519,21
448, 38.5,-0.975,0.09, 12,0, 420,27
460, 38.5,0,0.09, 24,0, 440,25
472, 38.5,0.975,0.09, 21,2, 430,28
484, 38.5,2.25,0.09, 19,0, 498,17
496, 38.5,3.6,0.09, 0,0, 0,0
437, 41.5,-2.25,0.09, 12,1, 476,26
449, 41.5,-0.975,0.09, 15,1, 440,20
461, 41.5,0,0.09, 34,0, 418,23
473, 41.5,0.975,0.09, 17,1, 458,28
485, 41.5,2.25,0.09, 17,1, 518,27
497, 41.5,3.6,0.09, 0,0, 0,0
438, 44,-2.25,0.09, 8,0, 344,15
450, 44,-0.975,0.09, 19,0, 313,20
462, 44,0,0.09, 14,0, 323,11
474, 44,0.975,0.09, 8,0, 316,25
486, 44,2.25,0.09, 14,0, 336,9
498, 44,3.6,0.09, 0,0, 0,0
439, 46.5,-2.25,0.09, 8,0, 474,27
451, 46.5,-0.975,0.09, 18,1, 425,19
463, 46.5,0,0.09, 13,1, 437,28
475, 46.5,0.975,0.09, 17,0, 427,28
487, 46.5,2.25,0.09, 9,0, 441,15
499, 46.5,3.6,0.09, 0,0, 0,0
440, 52,-2.25,0.09, 42,0, 1074,49
452, 52,-0.975,0.09, 34,2, 963,34
464, 52,0,0.09, 53,0, 992,28
476, 52,0.975,0.09, 43,2, 950,46
488, 52,2.25,0.09, 50,1, 1088,38
500, 52,3.6,0.09, 0,0, 0,0
441, 59.5,-2.25,0.09, 31,1, 724,13
453, 59.5,-0.975,0.09, 44,0, 745,28
465, 59.5,0,0.09, 62,1, 739,16
477, 59.5,0.975,0.09, 30,3, 660,18
489, 59.5,2.25,0.09, 31,1, 744,15
501, 59.5,3.6,0.09, 0,0, 0,0
442, 281.5,-2.25,0.09, 173,1, 3278,36
454, 281.5,-0.975,0.09, 219,1, 3676,37
466, 281.5,0,0.09, 220,3, 3794,41
478, 281.5,0.975,0.09, 206,2, 3635,31
490, 281.5,2.25,0.09, 140,2, 3252,22
502, 281.5,3.6,0.09, 0,0, 0,0
517, 14.5,-2.25,0.0965, 87,1, 3244,21
529, 14.5,-0.975,0.0965, 87,2, 3436,54
541, 14.5,0,0.0965, 77,1, 3162,70
553, 14.5,0.975,0.0965, 86,3, 3511,68
565, 14.5,2.25,0.0965, 69,1, 3131,17
577, 14.5,3.6,0.0965, 0,0, 0,0
518, 31,-2.25,0.0965, 29,1, 1366,34
530, 31,-0.975,0.0965, 38,2, 1398,47
542, 31,0,0.0965, 52,4, 1096,51
554, 31,0.975,0.0965, 34,2, 1348,44
566, 31,2.25,0.0965, 29,1, 1405,36
578, 31,3.6,0.0965, 0,0, 0,0
519, 35,-2.25,0.0965, 53,4, 1117,49
531, 35,-0.975,0.0965, 47,4, 971,43
543, 35,0,0.0965, 44,0, 871,34
555, 35,0.975,0.0965, 31,2, 954,57
567, 35,2.25,0.0965, 26,1, 1048,44
579, 35,3.6,0.0965, 0,0, 0,0
520, 38.5,-2.25,0.0965, 35,1, 721,28
532, 38.5,-0.975,0.0965, 26,1, 641,22
544, 38.5,0,0.0965, 38,1, 651,26
556, 38.5,0.975,0.0965, 34,1, 669,35
568, 38.5,2.25,0.0965, 30,1, 740,26
580, 38.5,3.6,0.0965, 0,0, 0,0
521, 41.5,-2.25,0.0965, 28,1, 716,21
533, 41.5,-0.975,0.0965, 29,1, 695,36
545, 41.5,0,0.0965, 43,1, 775,38
557, 41.5,0.975,0.0965, 35,3, 681,54
569, 41.5,2.25,0.0965, 29,1, 732,27
581, 41.5,3.6,0.0965, 0,0, 0,0
522, 44,-2.25,0.0965, 13,0, 465,25
534, 44,-0.975,0.0965, 22,1, 466,20
546, 44,0,0.0965, 20,0, 409,16
558, 44,0.975,0.0965, 19,0, 437,24
570, 44,2.25,0.0965, 23,0, 498,18
582, 44,3.6,0.0965, 0,0, 0,0
523, 46.5,-2.25,0.0965, 25,1, 654,25
535, 46.5,-0.975,0.0965, 26,1, 675,25
547, 46.5,0,0.0965, 50,1, 674,25
559, 46.5,0.975,0.0965, 28,2, 683,23
571, 46.5,2.25,0.0965, 25,2, 667,27
583, 46.5,3.6,0.0965, 0,0, 0,0
524, 52,-2.25,0.0965, 63,1, 1618,33
536, 52,-0.975,0.0965, 67,0, 1521,44
548, 52,0,0.0965, 99,1, 1571,45
560, 52,0.975,0.0965, 63,1, 1505,57
572, 52,2.25,0.0965, 65,3, 1566,42
584, 52,3.6,0.0965, 0,0, 0,0
525, 59.5,-2.25,0.0965, 42,2, 1117,24
537, 59.5,-0.975,0.0965, 63,0, 1055,16
549, 59.5,0,0.0965, 71,2, 1089,18
561, 59.5,0.975,0.0965, 49,0, 1062,26
573, 59.5,2.25,0.0965, 42,0, 1067,17
585, 59.5,3.6,0.0965, 0,0, 0,0
526, 281.5,-2.25,0.0965, 213,3, 4608,32
538, 281.5,-0.975,0.0965, 312,2, 5383,40
550, 281.5,0,0.0965, 292,2, 5256,25
562, 281.5,0.975,0.0965, 341,3, 5285,31
574, 281.5,2.25,0.0965, 209,1, 4445,29
586, 281.5,3.6,0.0965, 0,0, 0,0
601, 14.5,-2.25,0.1035, 113,1, 3594,19
613, 14.5,-0.975,0.1035, 104,4, 3875,55
625, 14.5,0,0.1035, 129,3, 3739,78
637, 14.5,0.975,0.1035, 105,0, 4042,53
649, 14.5,2.25,0.1035, 122,0, 3675,28
661, 14.5,3.6,0.1035, 0,0, 0,0
602, 31,-2.25,0.1035, 59,2, 1542,35
614, 31,-0.975,0.1035, 64,3, 1614,38
626, 31,0,0.1035, 68,1, 1296,58
638, 31,0.975,0.1035, 41,1, 1640,52
650, 31,2.25,0.1035, 55,0, 1525,32
662, 31,3.6,0.1035, 0,0, 0,0
603, 35,-2.25,0.1035, 48,0, 1262,39
615, 35,-0.975,0.1035, 53,2, 1201,48
627, 35,0,0.1035, 64,0, 1107,41
639, 35,0.975,0.1035, 69,3, 1187,43
651, 35,2.25,0.1035, 50,1, 1341,32
663, 35,3.6,0.1035, 0,0, 0,0
604, 38.5,-2.25,0.1035, 39,0, 948,38
616, 38.5,-0.975,0.1035, 44,0, 785,36
628, 38.5,0,0.1035, 58,4, 833,29
640, 38.5,0.975,0.1035, 48,2, 889,35
652, 38.5,2.25,0.1035, 38,2, 893,28
664, 38.5,3.6,0.1035, 0,0, 0,0
605, 41.5,-2.25,0.1035, 39,2, 928,25
617, 41.5,-0.975,0.1035, 44,0, 950,29
629, 41.5,0,0.1035, 41,2, 898,35
641, 41.5,0.975,0.1035, 30,1, 855,25
653, 41.5,2.25,0.1035, 37,1, 906,25
665, 41.5,3.6,0.1035, 0,0, 0,0
606, 44,-2.25,0.1035, 21,1, 609,16
618, 44,-0.975,0.1035, 33,2, 616,35
630, 44,0,0.1035, 34,0, 571,22
642, 44,0.975,0.1035, 29,1, 611,19
654, 44,2.25,0.1035, 25,4, 578,15
666, 44,3.6,0.1035, 0,0, 0,0
607, 46.5,-2.25,0.1035, 38,2, 941,22
619, 46.5,-0.975,0.1035, 43,0, 890,26
631, 46.5,0,0.1035, 47,0, 871,21
643, 46.5,0.975,0.1035, 38,1, 851,36
655, 46.5,2.25,0.1035, 36,0, 891,32
667, 46.5,3.6,0.1035, 0,0, 0,0
608, 52,-2.25,0.1035, 70,1, 2021,46
620, 52,-0.975,0.1035, 114,2, 1975,41
632, 52,0,0.1035, 104,3, 2040,36
644, 52,0.975,0.1035, 112,5, 2031,45
656, 52,2.25,0.1035, 74,1, 1987,43
668, 52,3.6,0.1035, 0,0, 0,0
609, 59.5,-2.25,0.1035, 72,1, 1401,23
621, 59.5,-0.975,0.1035, 76,0, 1458,22
633, 59.5,0,0.1035, 91,0, 1383,14
645, 59.5,0.975,0.1035, 67,1, 1490,36
657, 59.5,2.25,0.1035, 42,1, 1287,19
669, 59.5,3.6,0.1035, 0,0, 0,0
610, 281.5,-2.25,0.1035, 229,3, 5200,22
622, 281.5,-0.975,0.1035, 403,3, 6361,24
634, 281.5,0,0.1035, 377,2, 5950,27
646, 281.5,0.975,0.1035, 414,1, 6451,37
658, 281.5,2.25,0.1035, 263,0, 5161,42
670, 281.5,3.6,0.1035, 0,0, 0,0
685, 14.5,-2.25,0.11, 143,0, 3715,23
697, 14.5,-0.975,0.11, 149,3, 3813,54
709, 14.5,0,0.11, 156,2, 3498,50
721, 14.5,0.975,0.11, 109,3, 3782,73
733, 14.5,2.25,0.11, 129,1, 3562,25
745, 14.5,3.6,0.11, 0,0, 0,0
686, 31,-2.25,0.11, 45,1, 1360,40
698, 31,-0.975,0.11, 59,1, 1599,46
710, 31,0,0.11, 88,3, 1383,41
722, 31,0.975,0.11, 53,1, 1526,38
734, 31,2.25,0.11, 45,2, 1398,27
746, 31,3.6,0.11, 0,0, 0,0
687, 35,-2.25,0.11, 51,1, 1317,28
699, 35,-0.975,0.11, 83,1, 1301,38
711, 35,0,0.11, 90,0, 1158,36
723, 35,0.975,0.11, 66,2, 1273,38
735, 35,2.25,0.11, 47,1, 1295,33
747, 35,3.6,0.11, 0,0, 0,0
688, 38.5,-2.25,0.11, 40,2, 915,24
700, 38.5,-0.975,0.11, 52,1, 851,34
712, 38.5,0,0.11, 76,1, 916,37
724, 38.5,0.975,0.11, 50,1, 912,27
736, 38.5,2.25,0.11, 36,0, 878,25
748, 38.5,3.6,0.11, 0,0, 0,0
689, 41.5,-2.25,0.11, 36,1, 953,37
701, 41.5,-0.975,0.11, 38,1, 953,28
713, 41.5,0,0.11, 56,1, 904,17
725, 41.5,0.975,0.11, 43,1, 946,40
737, 41.5,2.25,0.11, 44,3, 937,28
749, 41.5,3.6,0.11, 0,0, 0,0
690, 44,-2.25,0.11, 21,0, 655,11
702, 44,-0.975,0.11, 33,0, 630,15
714, 44,0,0.11, 37,0, 640,13
726, 44,0.975,0.11, 38,0, 673,15
738, 44,2.25,0.11, 24,0, 627,13
750, 44,3.6,0.11, 0,0, 0,0
691, 46.5,-2.25,0.11, 39,1, 928,22
703, 46.5,-0.975,0.11, 54,0, 996,26
715, 46.5,0,0.11, 46,1, 927,20
727, 46.5,0.975,0.11, 38,0, 931,18
739, 46.5,2.25,0.11, 45,1, 937,24
751, 46.5,3.6,0.11, 0,0, 0,0
692, 52,-2.25,0.11, 75,3, 2204,38
704, 52,-0.975,0.11, 128,1, 2269,44
716, 52,0,0.11, 127,1, 2133,23
728, 52,0.975,0.11, 113,4, 2193,37
740, 52,2.25,0.11, 90,1, 2032,26
752, 52,3.6,0.11, 0,0, 0,0
693, 59.5,-2.25,0.11, 57,1, 1332,13
705, 59.5,-0.975,0.11, 75,0, 1555,22
717, 59.5,0,0.11, 73,1, 1447,7
729, 59.5,0.975,0.11, 74,1, 1508,19
741, 59.5,2.25,0.11, 53,1, 1355,14
753, 59.5,3.6,0.11, 0,0, 0,0
694, 281.5,-2.25,0.11, 204,1, 4882,27
706, 281.5,-0.975,0.11, 371,0, 6208,22
718, 281.5,0,0.11, 322,1, 5695,22
730, 281.5,0.975,0.11, 371,0, 6250,23
742, 281.5,2.25,0.11, 238,0, 4906,28
754, 281.5,3.6,0.11, 0,0, 0,0
769, 14.5,-2.25,0.1165, 206,1, 4818,27
781, 14.5,-0.975,0.1165, 194,7, 4965,70
793, 14.5,0,0.1165, 211,3, 4748,73
805, 14.5,0.975,0.1165, 200,2, 4956,61
817, 14.5,2.25,0.1165, 208,1, 4585,19
829, 14.5,3.6,0.1165, 0,0, 0,0
770, 31,-2.25,0.1165, 73,0, 1829,26
782, 31,-0.975,0.1165, 96,2, 2110,57
794, 31,0,0.1165, 125,2, 1833,49
806, 31,0.975,0.1165, 97,2, 2008,51
818, 31,2.25,0.1165, 73,3, 1729,36
830, 31,3.6,0.1165, 0,0, 0,0
771, 35,-2.25,0.1165, 75,1, 1740,54
783, 35,-0.975,0.1165, 104,3, 1734,47
795, 35,0,0.1165, 107,1, 1609,44
807, 35,0.975,0.1165, 78,1, 1669,47
819, 35,2.25,0.1165, 75,2, 1656,31
831, 35,3.6,0.1165, 0,0, 0,0
772, 38.5,-2.25,0.1165, 71,1, 1230,39
784, 38.5,-0.975,0.1165, 85,2, 1312,30
796, 38.5,0,0.1165, 94,1, 1257,39
808, 38.5,0.975,0.1165, 89,1, 1352,39
820, 38.5,2.25,0.1165, 57,0, 1179,30
832, 38.5,3.6,0.1165, 0,0, 0,0
773, 41.5,-2.25,0.1165, 69,4, 1362,42
785, 41.5,-0.975,0.1165, 71,1, 1380,32
797, 41.5,0,0.1165, 83,0, 1325,28
809, 41.5,0.975,0.1165, 69,0, 1392,34
821, 41.5,2.25,0.1165, 51,1, 1289,32
833, 41.5,3.6,0.1165, 0,0, 0,0
774, 44,-2.25,0.1165, 28,0, 881,14
786, 44,-0.975,0.1165, 58,3, 961,17
798, 44,0,0.1165, 34,0, 912,24
810, 44,0.975,0.1165, 36,1, 976,29
822, 44,2.25,0.1165, 37,2, 907,12
834, 44,3.6,0.1165, 0,0, 0,0
775, 46.5,-2.25,0.1165, 50,0, 1304,20
787, 46.5,-0.975,0.1165, 81,0, 1370,27
799, 46.5,0,0.1165, 77,0, 1310,23
811, 46.5,0.975,0.1165, 77,0, 1396,34
823, 46.5,2.25,0.1165, 42,1, 1338,23
835, 46.5,3.6,0.1165, 0,0, 0,0
776, 52,-2.25,0.1165, 98,1, 2786,37
788, 52,-0.975,0.1165, 136,0, 3126,37
800, 52,0,0.1165, 148,1, 3011,36
812, 52,0.975,0.1165, 155,1, 3153,37
824, 52,2.25,0.1165, 105,0, 2856,39
836, 52,3.6,0.1165, 0,0, 0,0
777, 59.5,-2.25,0.1165, 67,2, 1761,25
789, 59.5,-0.975,0.1165, 121,0, 2137,14
801, 59.5,0,0.1165, 113,0, 2002,14
813, 59.5,0.975,0.1165, 86,1, 2113,22
825, 59.5,2.25,0.1165, 82,0, 1858,12
837, 59.5,3.6,0.1165, 0,0, 0,0
778, 281.5,-2.25,0.1165, 276,2, 6009,21
790, 281.5,-0.975,0.1165, 431,0, 7860,27
802, 281.5,0,0.1165, 394,0, 7095,10
814, 281.5,0.975,0.1165, 470,1, 7844,32
826, 281.5,2.25,0.1165, 318,0, 6022,16
838, 281.5,3.6,0.1165, 0,0, 0,0
853, 14.5,-2.25,0.1235, 219,0, 5270,18
865, 14.5,-0.975,0.1235, 284,3, 5564,68
877, 14.5,0,0.1235, 269,1, 5186,56
889, 14.5,0.975,0.1235, 269,0, 5572,51
901, 14.5,2.25,0.1235, 227,0, 5231,18
913, 14.5,3.6,0.1235, 0,0, 0,0
854, 31,-2.25,0.1235, 90,2, 2050,22
866, 31,-0.975,0.1235, 133,2, 2385,49
878, 31,0,0.1235, 134,1, 2017,41
890, 31,0.975,0.1235, 107,3, 2254,41
902, 31,2.25,0.1235, 89,0, 1996,28
