i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
782, 31,-0.975,0.1165, 517,16, 3206,132
794, 31,0,0.1165, 560,11, 2861,104
806, 31,0.975,0.1165, 508,15, 3183,117
818, 31,2.25,0.1165, 414,6, 2533,74
830, 31,3.6,0.1165, 0,0, 0,0
771, 35,-2.25,0.1165, 438,9, 2599,84
783, 35,-0.975,0.1165, 534,9, 2975,119
795, 35,0,0.1165, 561,11, 2596,122
807, 35,0.975,0.1165, 508,19, 2795,120
819, 35,2.25,0.1165, 411,15, 2578,83
831, 35,3.6,0.1165, 0,0, 0,0
772, 38.5,-2.25,0.1165, 312,3, 1777,62
784, 38.5,-0.975,0.1165, 384,9, 2122,100
796, 38.5,0,0.1165, 394,6, 2055,86
808, 38.5,0.975,0.1165, 362,7, 2139,83
820, 38.5,2.25,0.1165, 294,5, 1845,76
832, 38.5,3.6,0.1165, 0,0, 0,0
773, 41.5,-2.25,0.1165, 289,3, 1886,52
785, 41.5,-0.975,0.1165, 393,5, 2177,85
797, 41.5,0,0.1165, 397,11, 2109,86
809, 41.5,0.975,0.1165, 365,9, 2197,84
821, 41.5,2.25,0.1165, 250,3, 1894,72
833, 41.5,3.6,0.1165, 0,0, 0,0
774, 44,-2.25,0.1165, 199,8, 1248,36
786, 44,-0.975,0.1165, 245,7, 1450,45
798, 44,0,0.1165, 244,3, 1367,49
810, 44,0.975,0.1165, 228,2, 1454,51
822, 44,2.25,0.1165, 175,3, 1265,44
834, 44,3.6,0.1165, 0,0, 0,0
775, 46.5,-2.25,0.1165, 278,3, 1798,47
787, 46.5,-0.975,0.1165, 322,2, 2113,63
799, 46.5,0,0.1165, 333,4, 2034,71
811, 46.5,0.975,0.1165, 375,5, 2173,69
823, 46.5,2.25,0.1165, 262,6, 1892,52
835, 46.5,3.6,0.1165, 0,0, 0,0
776, 52,-2.25,0.1165, 628,5, 4235,101
788, 52,-0.975,0.1165, 836,9, 4968,128
800, 52,0,0.1165, 889,8, 4501,128
812, 52,0.975,0.1165, 836,5, 4932,145
824, 52,2.25,0.1165, 558,4, 4134,100
836, 52,3.6,0.1165, 0,0, 0,0
777, 59.5,-2.25,0.1165, 409,1, 2770,41
789, 59.5,-0.975,0.1165, 644,2, 3365,49
801, 59.5,0,0.1165, 587,3, 3121,45
813, 59.5,0.975,0.1165, 590,2, 3319,49
825, 59.5,2.25,0.1165, 411,1, 2682,38
837, 59.5,3.6,0.1165, 0,0, 0,0
778, 281.5,-2.25,0.1165, 1857,5, 10156,55
790, 281.5,-0.975,0.1165, 3232,3, 14753,73
802, 281.5,0,0.1165, 2883,6, 13276,67
814, 281.5,0.975,0.1165, 3106,6, 14633,81
826, 281.5,2.25,0.1165, 1792,1, 10259,52
838, 281.5,3.6,0.1165, 0,0, 0,0
853, 14.5,-2.25,0.1235, 1538,3, 6540,31
865, 14.5,-0.975,0.1235, 1609,7, 7502,143
