i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
525, 59.5,-2.25,0.0965, 0,0, 521,2
537, 59.5,-0.975,0.0965, 0,0, 1024,0
549, 59.5,0,0.0965, 0,0, 1514,2
561, 59.5,0.975,0.0965, 1,0, 986,4
573, 59.5,2.25,0.0965, 0,0, 505,1
585, 59.5,3.6,0.0965, 0,0, 0,0
526, 281.5,-2.25,0.0965, 2,0, 16041,22
538, 281.5,-0.975,0.0965, 5,0, 46521,25
550, 281.5,0,0.0965, 6,0, 58275,23
562, 281.5,0.975,0.0965, 5,0, 46557,23
574, 281.5,2.25,0.0965, 2,0, 15962,14
586, 281.5,3.6,0.0965, 0,0, 0,0
601, 14.5,-2.25,0.1035, 0,0, 1629,6
613, 14.5,-0.975,0.1035, 0,0, 2390,12
625, 14.5,0,0.1035, 0,0, 3316,14
637, 14.5,0.975,0.1035, 0,0, 2314,12
649, 14.5,2.25,0.1035, 0,0, 1531,6
661, 14.5,3.6,0.1035, 0,0, 0,0
602, 31,-2.25,0.1035, 1,0, 549,12
614, 31,-0.975,0.1035, 0,0, 911,10
626, 31,0,0.1035, 0,0, 1186,6
638, 31,0.975,0.1035, 1,0, 901,9
650, 31,2.25,0.1035, 0,0, 496,9
662, 31,3.6,0.1035, 0,0, 0,0
603, 35,-2.25,0.1035, 0,0, 520,6
615, 35,-0.975,0.1035, 0,0, 849,10
627, 35,0,0.1035, 0,0, 1183,12
639, 35,0.975,0.1035, 0,0, 892,7
651, 35,2.25,0.1035, 0,0, 510,10
663, 35,3.6,0.1035, 0,0, 0,0
604, 38.5,-2.25,0.1035, 1,0, 388,9
616, 38.5,-0.975,0.1035, 0,0, 580,3
628, 38.5,0,0.1035, 0,0, 911,7
640, 38.5,0.975,0.1035, 0,0, 620,5
652, 38.5,2.25,0.1035, 0,0, 337,11
664, 38.5,3.6,0.1035, 0,0, 0,0
605, 41.5,-2.25,0.1035, 0,0, 378,4
617, 41.5,-0.975,0.1035, 0,0, 648,4
629, 41.5,0,0.1035, 0,0, 860,2
641, 41.5,0.975,0.1035, 0,0, 637,4
653, 41.5,2.25,0.1035, 0,0, 315,4
665, 41.5,3.6,0.1035, 0,0, 0,0
606, 44,-2.25,0.1035, 0,0, 259,3
618, 44,-0.975,0.1035, 0,0, 412,7
630, 44,0,0.1035, 0,0, 586,4
642, 44,0.975,0.1035, 0,0, 416,3
654, 44,2.25,0.1035, 0,0, 240,2
666, 44,3.6,0.1035, 0,0, 0,0
607, 46.5,-2.25,0.1035, 0,0, 343,8
619, 46.5,-0.975,0.1035, 0,0, 607,0
631, 46.5,0,0.1035, 0,0, 831,2
643, 46.5,0.975,0.1035, 1,0, 590,2
655, 46.5,2.25,0.1035, 0,0, 362,6
667, 46.5,3.6,0.1035, 0,0, 0,0
608, 52,-2.25,0.1035, 0,0, 911,10
620, 52,-0.975,0.1035, 0,0, 1661,3
632, 52,0,0.1035, 0,0, 2367,9
644, 52,0.975,0.1035, 0,0, 1704,7
656, 52,2.25,0.1035, 0,0, 846,7
668, 52,3.6,0.1035, 0,0, 0,0
609, 59.5,-2.25,0.1035, 0,0, 748,6
621, 59.5,-0.975,0.1035, 0,0, 1536,4
633, 59.5,0,0.1035, 0,0, 2137,3
645, 59.5,0.975,0.1035, 0,0, 1466,2
657, 59.5,2.25,0.1035, 0,0, 669,4
669, 59.5,3.6,0.1035, 0,0, 0,0
610, 281.5,-2.25,0.1035, 2,0, 17174,24
622, 281.5,-0.975,0.1035, 5,0, 50597,18
634, 281.5,0,0.1035, 7,0, 61863,20
646, 281.5,0.975,0.1035, 5,0, 50528,26
658, 281.5,2.25,0.1035, 1,0, 16811,13
670, 281.5,3.6,0.1035, 0,0, 0,0
685, 14.5,-2.25,0.11, 0,0, 1838,8
697, 14.5,-0.975,0.11, 0,0, 2736,12
709, 14.5,0,0.11, 0,0, 3766,7
721, 14.5,0.975,0.11, 0,0, 2673,14
733, 14.5,2.25,0.11, 0,0, 1748,9
745, 14.5,3.6,0.11, 0,0, 0,0
686, 31,-2.25,0.11, 0,0, 636,9
698, 31,-0.975,0.11, 0,0, 1047,11
710, 31,0,0.11, 0,0, 1382,7
722, 31,0.975,0.11, 0,0, 991,5
734, 31,2.25,0.11, 0,0, 553,12
746, 31,3.6,0.11, 0,0, 0,0
687, 35,-2.25,0.11, 0,0, 605,8
699, 35,-0.975,0.11, 0,0, 999,8
711, 35,0,0.11, 1,0, 1321,6
723, 35,0.975,0.11, 0,0, 939,7
735, 35,2.25,0.11, 1,0, 570,7
747, 35,3.6,0.11, 0,0, 0,0
688, 38.5,-2.25,0.11, 0,0, 395,10
700, 38.5,-0.975,0.11, 0,0, 709,4
712, 38.5,0,0.11, 0,0, 1011,7
724, 38.5,0.975,0.11, 0,0, 641,2
736, 38.5,2.25,0.11, 0,0, 388,2
748, 38.5,3.6,0.11, 0,0, 0,0
689, 41.5,-2.25,0.11, 0,0, 414,5
701, 41.5,-0.975,0.11, 0,0, 724,6
713, 41.5,0,0.11, 0,0, 952,2
725, 41.5,0.975,0.11, 0,0, 717,2
737, 41.5,2.25,0.11, 0,0, 353,4
749, 41.5,3.6,0.11, 0,0, 0,0
690, 44,-2.25,0.11, 0,0, 258,6
702, 44,-0.975,0.11, 0,0, 460,4
714, 44,0,0.11, 0,0, 629,1
726, 44,0.975,0.11, 0,0, 495,2
738, 44,2.25,0.11, 0,0, 260,1
750, 44,3.6,0.11, 0,0, 0,0
691, 46.5,-2.25,0.11, 1,0, 365,5
703, 46.5,-0.975,0.11, 1,0, 717,3
715, 46.5,0,0.11, 0,0, 965,0
727, 46.5,0.975,0.11, 0,0, 719,2
739, 46.5,2.25,0.11, 0,0, 351,3
751, 46.5,3.6,0.11, 0,0, 0,0
692, 52,-2.25,0.11, 0,0, 1014,7
704, 52,-0.975,0.11, 2,0, 1901,15
716, 52,0,0.11, 0,0, 2559,3
728, 52,0.975,0.11, 0,0, 1923,4
740, 52,2.25,0.11, 0,0, 950,5
752, 52,3.6,0.11, 0,0, 0,0
693, 59.5,-2.25,0.11, 0,0, 794,3
705, 59.5,-0.975,0.11, 0,0, 1728,4
717, 59.5,0,0.11, 0,0, 2284,2
729, 59.5,0.975,0.11, 0,0, 1670,2
741, 59.5,2.25,0.11, 0,0, 783,4
753, 59.5,3.6,0.11, 0,0, 0,0
694, 281.5,-2.25,0.11, 1,0, 15178,20
706, 281.5,-0.975,0.11, 5,0, 45138,18
718, 281.5,0,0.11, 5,0, 54188,19
730, 281.5,0.975,0.11, 4,0, 45442,20
742, 281.5,2.25,0.11, 1,0, 15040,11
