i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
451, 46.5,-0.975,0.09, 12,0, 391,11
463, 46.5,0,0.09, 12,0, 390,13
475, 46.5,0.975,0.09, 15,0, 385,11
487, 46.5,2.25,0.09, 10,0, 377,4
499, 46.5,3.6,0.09, 0,0, 0,0
440, 52,-2.25,0.09, 19,0, 1006,23
452, 52,-0.975,0.09, 51,0, 876,17
464, 52,0,0.09, 59,2, 930,12
476, 52,0.975,0.09, 44,0, 901,17
488, 52,2.25,0.09, 31,1, 917,13
500, 52,3.6,0.09, 0,0, 0,0
441, 59.5,-2.25,0.09, 25,0, 649,16
453, 59.5,-0.975,0.09, 39,1, 579,10
465, 59.5,0,0.09, 60,0, 637,14
477, 59.5,0.975,0.09, 44,0, 586,5
489, 59.5,2.25,0.09, 29,0, 622,10
501, 59.5,3.6,0.09, 0,0, 0,0
442, 281.5,-2.25,0.09, 828,6, 3218,26
454, 281.5,-0.975,0.09, 1803,2, 4825,6
466, 281.5,0,0.09, 2045,4, 5411,19
478, 281.5,0.975,0.09, 1811,2, 4881,14
490, 281.5,2.25,0.09, 754,0, 3133,18
502, 281.5,3.6,0.09, 0,0, 0,0
517, 14.5,-2.25,0.0965, 50,1, 1233,11
529, 14.5,-0.975,0.0965, 55,2, 978,21
541, 14.5,0,0.0965, 54,1, 1045,11
553, 14.5,0.975,0.0965, 60,1, 978,22
565, 14.5,2.25,0.0965, 36,0, 1246,12
577, 14.5,3.6,0.0965, 0,0, 0,0
518, 31,-2.25,0.0965, 18,0, 448,15
530, 31,-0.975,0.0965, 28,1, 465,18
542, 31,0,0.0965, 30,1, 471,21
554, 31,0.975,0.0965, 28,1, 458,14
566, 31,2.25,0.0965, 20,0, 501,12
578, 31,3.6,0.0965, 0,0, 0,0
519, 35,-2.25,0.0965, 22,0, 502,19
531, 35,-0.975,0.0965, 23,1, 541,17
543, 35,0,0.0965, 42,0, 590,23
555, 35,0.975,0.0965, 24,3, 474,15
567, 35,2.25,0.0965, 19,1, 516,15
579, 35,3.6,0.0965, 0,0, 0,0
520, 38.5,-2.25,0.0965, 12,1, 479,10
532, 38.5,-0.975,0.0965, 28,2, 453,11
544, 38.5,0,0.0965, 19,1, 539,12
556, 38.5,0.975,0.0965, 26,0, 513,14
568, 38.5,2.25,0.0965, 16,0, 446,14
580, 38.5,3.6,0.0965, 0,0, 0,0
521, 41.5,-2.25,0.0965, 16,0, 594,19
533, 41.5,-0.975,0.0965, 17,0, 617,12
545, 41.5,0,0.0965, 35,0, 720,10
557, 41.5,0.975,0.0965, 33,0, 614,16
569, 41.5,2.25,0.0965, 22,0, 591,15
581, 41.5,3.6,0.0965, 0,0, 0,0
522, 44,-2.25,0.0965, 12,1, 383,14
534, 44,-0.975,0.0965, 19,1, 454,11
546, 44,0,0.0965, 16,0, 458,11
558, 44,0.975,0.0965, 26,0, 478,15
570, 44,2.25,0.0965, 7,0, 422,15
582, 44,3.6,0.0965, 0,0, 0,0
523, 46.5,-2.25,0.0965, 18,0, 673,12
535, 46.5,-0.975,0.0965, 27,0, 678,14
547, 46.5,0,0.0965, 29,1, 655,18
559, 46.5,0.975,0.0965, 32,1, 657,14
571, 46.5,2.25,0.0965, 15,1, 642,12
583, 46.5,3.6,0.0965, 0,0, 0,0
524, 52,-2.25,0.0965, 49,2, 1595,25
536, 52,-0.975,0.0965, 76,1, 1494,31
548, 52,0,0.0965, 98,2, 1514,14
560, 52,0.975,0.0965, 71,0, 1540,19
572, 52,2.25,0.0965, 55,1, 1557,25
584, 52,3.6,0.0965, 0,0, 0,0
525, 59.5,-2.25,0.0965, 32,1, 1042,13
537, 59.5,-0.975,0.0965, 76,0, 993,10
549, 59.5,0,0.0965, 70,0, 1056,9
561, 59.5,0.975,0.0965, 75,3, 1021,14
573, 59.5,2.25,0.0965, 48,1, 996,17
585, 59.5,3.6,0.0965, 0,0, 0,0
526, 281.5,-2.25,0.0965, 987,7, 4585,23
538, 281.5,-0.975,0.0965, 2344,2, 6755,10
550, 281.5,0,0.0965, 2627,1, 7511,26
562, 281.5,0.975,0.0965, 2303,8, 6637,24
574, 281.5,2.25,0.0965, 1033,2, 4387,16
586, 281.5,3.6,0.0965, 0,0, 0,0
601, 14.5,-2.25,0.1035, 71,0, 1743,8
613, 14.5,-0.975,0.1035, 85,1, 1472,26
625, 14.5,0,0.1035, 99,3, 1481,31
637, 14.5,0.975,0.1035, 71,1, 1447,20
649, 14.5,2.25,0.1035, 58,0, 1692,16
661, 14.5,3.6,0.1035, 0,0, 0,0
602, 31,-2.25,0.1035, 33,1, 704,19
614, 31,-0.975,0.1035, 23,1, 628,21
626, 31,0,0.1035, 29,1, 691,13
638, 31,0.975,0.1035, 32,2, 685,19
650, 31,2.25,0.1035, 29,0, 698,20
662, 31,3.6,0.1035, 0,0, 0,0
603, 35,-2.25,0.1035, 28,1, 767,25
615, 35,-0.975,0.1035, 37,1, 747,19
627, 35,0,0.1035, 46,2, 856,22
639, 35,0.975,0.1035, 45,3, 763,29
651, 35,2.25,0.1035, 34,1, 766,23
663, 35,3.6,0.1035, 0,0, 0,0
604, 38.5,-2.25,0.1035, 25,0, 637,11
616, 38.5,-0.975,0.1035, 32,0, 784,13
628, 38.5,0,0.1035, 47,0, 820,18
640, 38.5,0.975,0.1035, 24,0, 704,13
652, 38.5,2.25,0.1035, 20,0, 667,17
664, 38.5,3.6,0.1035, 0,0, 0,0
605, 41.5,-2.25,0.1035, 26,0, 795,16
617, 41.5,-0.975,0.1035, 31,1, 978,13
629, 41.5,0,0.1035, 28,1, 998,21
641, 41.5,0.975,0.1035, 33,1, 957,12
653, 41.5,2.25,0.1035, 18,0, 762,16
665, 41.5,3.6,0.1035, 0,0, 0,0
606, 44,-2.25,0.1035, 13,0, 579,8
618, 44,-0.975,0.1035, 28,1, 684,15
630, 44,0,0.1035, 27,1, 716,16
642, 44,0.975,0.1035, 21,0, 640,14
654, 44,2.25,0.1035, 14,0, 596,10
666, 44,3.6,0.1035, 0,0, 0,0
607, 46.5,-2.25,0.1035, 22,1, 920,15
619, 46.5,-0.975,0.1035, 36,1, 961,17
631, 46.5,0,0.1035, 37,1, 937,11
643, 46.5,0.975,0.1035, 48,1, 1001,12
655, 46.5,2.25,0.1035, 26,0, 900,20
667, 46.5,3.6,0.1035, 0,0, 0,0
608, 52,-2.25,0.1035, 73,0, 2085,24
620, 52,-0.975,0.1035, 111,1, 2164,27
632, 52,0,0.1035, 124,1, 2247,19
644, 52,0.975,0.1035, 111,1, 2144,26
656, 52,2.25,0.1035, 54,0, 2065,25
668, 52,3.6,0.1035, 0,0, 0,0
609, 59.5,-2.25,0.1035, 61,0, 1390,13
621, 59.5,-0.975,0.1035, 103,2, 1423,13
633, 59.5,0,0.1035, 131,0, 1455,10
645, 59.5,0.975,0.1035, 106,0, 1416,7
657, 59.5,2.25,0.1035, 57,0, 1334,11
669, 59.5,3.6,0.1035, 0,0, 0,0
610, 281.5,-2.25,0.1035, 1112,1, 5284,15
622, 281.5,-0.975,0.1035, 2471,3, 7947,13
634, 281.5,0,0.1035, 2581,4, 8101,17
646, 281.5,0.975,0.1035, 2394,4, 7826,16
